program_name,state,city,zip_codes,source_type,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
East Tampa CRA Residential Owner-Occupied Rehabilitation Program (ROOR),Florida,Tampa,"33603, 33605, 33610",city_government,,Residential,"Provides forgivable loans up to $20,000 for low-income homeowners to repair health and safety code violations including roof repairs, electrical systems, and plumbing issues",,,,2026-05-29,No,https://www.tampa.gov/cras/east-tampa/owner-occupied-rehabilitation-program
Owner-Occupied Rehabilitation Program,Florida,Hillsborough County,"33503, 33510, 33511, 33527, 33534, 33547, 33548, 33549, 33556, 33558, 33559, 33563, 33565, 33566, 33567, 33569, 33570, 33572, 33573, 33578, 33579, 33584, 33592, 33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",county_government,Grants,"Single-family homes, villas, condominiums","Provides forgivable loans up to $20,000 for low-income homeowners to repair health and safety code violations including roof repairs, electrical systems, and plumbing issues","Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments, homestead exemption for the past two years, current on property taxes, not have more than one mortgage, in good standing with Hillsborough County utilities, not own any other real estate property, agree to a deferred no-interest mortgage lien and promissory note, not have received assistance from Hillsborough County from this program or through a not-for-profit agency within the past five (5) years","Up to $20,000",,2026-05-29,No,https://hcfl.gov/residents/property-owners-and-renters/homeowners-and-neighborhoods/owner-occupied-rehabilitation-oor-program
Down Payment Assistance,Florida,Hillsborough County,"33503, 33510, 33511, 33527, 33534, 33547, 33548, 33549, 33556, 33558, 33559, 33563, 33565, 33566, 33567, 33569, 33570, 33572, 33573, 33578, 33579, 33584, 33592, 33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",county_government,Grants,Residential,Provides down payment and closing cost assistance to eligible home buyers in the form of a 0% second mortgage.,First-time buyers with income limits not specified,0% second mortgage,,2026-05-29,No,https://www.hillsboroughcounty.org/en/residents/property-owners-and-renters/homeowners-and-neighborhoods/down-payment-assistance
Temporary Storm Surcharge Ends,Florida,Tampa / TECO Service Area,"33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",utility,Rebates,"Residential, Commercial","Reduces residential and small business electric bills by $19.95 per 1,000 kWh each month, translating to approximately 11 to 12% lower bills.",,"$19.95 per 1,000 kWh",September,2026-05-29,No,https://www.tampaelectric.com/residential/saveenergy/
Tampa Electric's Heating and Cooling,Florida,Tampa / TECO Service Area,"33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",utility,Rebates,Residential,"Provides rebates for replacing old, inefficient ducted air conditioning systems with new, energy-efficient systems.",Residential customers with a minimum Seasonal Energy Efficiency Rating SEER (16.00) or SEER2 (15.20) required to participate.,$40-$550,,2026-05-29,No,https://www.tampaelectric.com/residential/saveenergy/heatingcooling/
Ceiling Insulation Rebate,Florida,Tampa / TECO Service Area,"33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",utility,Rebates,Residential,"Provides rebates for owner-installed ceiling insulation, up to $0.16 per square foot per R-11 insulation installed, to help reduce energy costs and improve comfort.","Homeowners with a Tampa Electric account, owner-occupied single-family homes, current on property taxes and mortgage payments",$0.16 per square foot per R-11 insulation installed,,2026-05-29,No,https://www.tampaelectric.com/residential/saveenergy/ceilinginsulation/
ENERGY STAR Smart Thermostat Rebate,Florida,Tampa / TECO Service Area,"33602, 33603, 33604, 33605, 33606, 33607, 33609, 33610, 33611, 33612, 33613, 33614, 33615, 33616, 33617, 33618, 33619, 33624, 33625, 33626, 33629, 33634, 33635, 33637, 33647",utility,Rebates,,"Provides rebates up to $22 for low-income households to install ENERGY STAR certified smart thermostats, helping to save energy and money.","Homeowners with proof of purchase of a new ENERGY STAR certified smart thermostat, within 90 days of purchase date.",$22,,2026-05-29,No,https://www.tampaelectric.com/residential/saveenergy/energystarsmartthermostat/
Energy Efficiency Programs,Florida,FPL Florida Service Area,"33401, 33405, 33407, 33409, 33410, 33411, 33412, 33413, 33414, 33415, 33417, 33418, 33426, 33428, 33431, 33432, 33433, 33434, 33435, 33436, 33437, 33444, 33445, 33446, 33449, 33458, 33460, 33461, 33462, 33463, 33467, 33470, 33472, 33473, 33476, 33477, 33480, 33483, 33484, 33486, 33487, 33493, 33496, 33498",utility,Rebates,"Residential, Commercial","Provides rebates for energy-efficient upgrades, including HVAC, lighting, and insulation, to help homeowners and businesses save energy and money.",,"$200, $220",,2026-05-29,No,https://www.fpl.com/save/programs.html
Home Improvement Rebates,Florida,Duke Energy Florida Service Area,"32701, 32703, 32707, 32708, 32712, 32714, 32730, 32746, 32750, 32751, 32765, 32766, 32771, 32773, 32779, 32789, 32792, 32801, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32819, 32822, 32824, 32825, 32827, 32829, 32832, 32835, 32837, 32839",utility,Rebates,Residential,"Provides rebates for energy efficiency upgrades in homes, including air quality improvements, temperature fixes, HVAC replacements, and window upgrades.",,,,2026-05-29,No,https://www.duke-energy.com/home/products/home-energy-improvement
Stack & Save,Florida,Duke Energy Florida Service Area,"32701, 32703, 32707, 32708, 32712, 32714, 32730, 32746, 32750, 32751, 32765, 32766, 32771, 32773, 32779, 32789, 32792, 32801, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32819, 32822, 32824, 32825, 32827, 32829, 32832, 32835, 32837, 32839",utility,Rebates,,Provides rebates and bill credits for energy-efficient upgrades and energy shifting during high demand periods.,,"{'rebates': '$3,800', 'bill credits': '$141'}",,2026-05-29,No,https://www.duke-energy.com/home/products/florida-savings
Home Energy Check,,Duke Energy Florida Service Area,"32701, 32703, 32707, 32708, 32712, 32714, 32730, 32746, 32750, 32751, 32765, 32766, 32771, 32773, 32779, 32789, 32792, 32801, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32819, 32822, 32824, 32825, 32827, 32829, 32832, 32835, 32837, 32839",utility,Rebates,Residential,"Provides energy use insights and recommendations tailored to your home, a free efficiency kit and information on our latest rebate offers.",,,,2026-05-29,No,https://www.duke-energy.com/home/products/home-energy-check
Residential Rebates,,Jacksonville,"32099, 32202, 32204, 32205, 32206, 32207, 32208, 32209, 32210, 32211, 32212, 32216, 32217, 32218, 32219, 32220, 32221, 32222, 32223, 32224, 32225, 32226, 32227, 32228, 32233, 32234, 32244, 32246, 32250, 32254, 32256, 32257, 32258, 32277",utility,,,"Making energy-efficient upgrades is a smart investment. They help your business save energy every day which, in turn, can save money every month on your utility bill, improving your business’ bottom line.",,,,2026-05-29,No,https://www.jea.com/ways_to_save/residential_rebates/
Housing Rehabilitation Program,Florida,Orlando,"32801, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32819, 32822, 32824, 32825, 32827, 32829, 32832, 32835, 32837, 32839",city_government,"Grants, Deferred Loans",Single-family homes,"Provides forgivable loans up to $20,000 for low-income homeowners to repair health and safety code violations including roof repairs, electrical systems, and plumbing issues.","Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments","$20,000 (Grant), $20,001 to $45,000 (Deferred Loan), More than $45,000 (Deferred Loan)",,2026-05-29,No,https://www.orlando.gov/Building-Development/Housing-and-Development-Grants-Incentives-and-Assistance/Housing-Assistance-Programs/Apply-to-the-Housing-Rehabilitation-Program
Housing Rehabilitation,Florida,Orange County,"32703, 32712, 32751, 32789, 32801, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32819, 32822, 32824, 32825, 32827, 32829, 32832, 32835, 32837, 32839, 34761, 34786, 34787",county_government,,,"Provides forgivable loans up to $20,000 for low-income homeowners to repair health and safety code violations including roof repairs, electrical systems, and plumbing issues","Homeowners with household income at or below very low-income guidelines, homeowners who have owned and lived in the home for a minimum of one year","$20,000",,2026-05-29,No,https://www.orangecountyfl.net/NeighborsHousing/HousingRehabilitation.aspx
Housing Rehabilitation Assistance Program,Florida,St. Petersburg,"33701, 33702, 33703, 33704, 33705, 33706, 33707, 33708, 33709, 33710, 33711, 33712, 33713, 33714, 33715, 33716",city_government,"Grants, Loans","Residential, Single-family homes, Condominium units, Town home units, Cooperative residential units","Provides funding for residents needing repairs to their homes for code compliance, health issues, safety, and/or accessibility. Funding is available through Home Repair Loans or the Accessibility Assistance Program.","Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, condominium units, town home units, cooperative residential units, current on property taxes and mortgage payments, house value does not exceed $481,176","$5,000 grant / $15,000 loan",,2026-05-29,No,https://www.stpete.org/residents/housing/homeowners/housing_rehabilitation_assistance_program.php
Home Rehabilitation & Repair,Florida,Hollywood,"33019, 33020, 33021, 33023, 33024, 33025, 33026, 33027, 33029",city_government,Grants,Residential,"Provides forgivable loans up to $150,000 for low to moderate income families to repair health and safety code violations including roof repairs, electrical systems, and plumbing issues.","Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, townhomes, and condominiums, current on property taxes and mortgage payments, not anticipating nor involved in any bankruptcy or foreclosure action, a United States Citizen or legal resident, eligible to receive federal assistance, and comply with all program terms and conditions.","$150,000",,2026-05-29,No,https://www.hollywoodfl.org/200/Home-Rehabilitation-Repair
Repair Program,Florida,Daytona Beach,"32114, 32117, 32118, 32119, 32124",city_government,Grants,Residential,"Provides assistance to low-income, owner-occupied households to correct or eliminate imminent threats to life, safety, or health and disaster mitigation.","Low-income households, owner-occupied, imminent threats to life, safety, or health, and disaster mitigation",,,2026-05-29,No,https://www.daytonabeach.gov/202/Rehabilitation-Programs
Owner-Occupied Rehabilitation,Florida,North Miami,"33161, 33162, 33168, 33181",city_government,Grants,"Single-family, duplex, condominium","Provides forgivable loans up to $20,000 for low-income homeowners to repair health and safety code violations including roof repairs, electrical systems, and plumbing issues.","Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments","Up to $20,000",,2026-05-29,No,https://www.northmiamifl.gov/245/Owner-Occupied-Rehabilitation
Housing Rehabilitation Program,Florida,Palm Coast,"32137, 32164",city_government,Grants,Residential,"Provides forgivable loans up to $20,000 for low-income homeowners to repair health and safety code violations including roof repairs, electrical systems, and plumbing issues.","Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments","$20,000",,2026-05-29,No,https://www.palmcoast.gov/housing-programs/cdbg-form
SHIP - Owner-Occupied Rehabilitation Program,Florida,Deltona,"32725, 32738",city_government,Grants,Residential,"Provides financial assistance to eligible homeowners for critical home repairs that improve health, safety, and code compliance, including roofing, electrical and plumbing upgrades, weatherization, septic systems, and accessibility modifications.","Homeowners with household income at or below 120% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments, residing within Deltona city limits, with homestead status, clear title, homeowner's insurance policy, and meeting ownership and zoning standards.","$125,000 at zero percent interest",,2026-05-29,No,https://www.deltonafl.gov/318
State Housing Initiatives Partnership Program,Florida,Seminole County,"32701, 32707, 32708, 32714, 32730, 32746, 32750, 32765, 32766, 32771, 32773, 32779, 32792, 32795, 32799",county_government,Grants,Affordable homeownership and multifamily housing,Provides funds to local governments as an incentive to create partnerships that produce and preserve affordable homeownership and multifamily housing.,"Local governments must establish a local housing assistance program by ordinance; develop a local housing assistance plan and housing incentive strategy; amend land development regulations or establish local policies to implement the incentive strategies; form partnerships and combine resources in order to reduce housing costs, and ensure that rent or mortgage payments within the targeted areas do not exceed 30 percent of the area median income limits, unless authorized by the mortgage lender.","$350,000 (minimum allocation)",,2026-05-29,No,https://www.seminolecountyfl.gov/departments-services/community-services/community-development/community-development-programs
Rehabilitation program,Florida,Santa Rosa County,"32561, 32563, 32565, 32566, 32570, 32571, 32583",county_government,Grants,Residential,Provides financial assistance to low-income families for home repairs to address safe or sanitary habitation and/or correction of building code violations.,Low-income families,,,2026-05-29,No,https://www.santarosa.fl.gov/349/Low-Income-Owner-Occupied-Home-Rehabilit
Home Rehabilitation/Replacement and Emergency Home Repair Programs,Florida,Leon County,"32301, 32303, 32304, 32305, 32308, 32309, 32310, 32311, 32312, 32317",county_government,"Grants, Loans",Residential,"Provides forgivable loans up to $20,000 for low-income homeowners to repair health and safety code violations, including roof repairs, electrical systems, and plumbing issues. Also offers grants for minimal, temporary repairs.","Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments","Up to $20,000",,2026-05-29,No,https://cms.leoncountyfl.gov/Government/Departments/Human-Services-Community-Partnerships/Housing-Services/Housing-Rehabilitation
Owner-Occupied Rehabilitation and Emergency Repairs,Florida,Panama City,"32401, 32404, 32405",city_government,Grants,Residential,Provides funding to repair homes with code violations and health and safety issues. Funding is distributed as a second mortgage on repaired or reconstructed homes.,"Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments","Up to $20,000",,2026-05-29,No,https://www.panamacity.gov/857/Housing-Assistance-Programs
Home Repair Assistance Grant,Florida,Suwannee County,"32008, 32024, 32060, 32064, 32094",county_government,Grants,Owner-occupied single-family homes,"Provides forgivable loans up to $20,000 for low-income homeowners to repair health and safety code violations including roof repairs, electrical systems, and plumbing issues","Homeowners with household income at or below 80% Area Median Income (AMI), owner-occupied single-family homes, current on property taxes and mortgage payments",,"August 30, 2024",2026-05-29,No,https://suwanneecountyfl.gov/home-repair-assistance-grant/
,,Central Florida,"32601, 32603, 32605, 32606, 32607, 32608, 32609, 32610, 32612, 32615, 32641, 32653, 34420, 34431, 34432, 34470, 34471, 34472, 34473, 34474, 34475, 34476, 34479, 34480, 34481, 34482",community_action,,,,,,,2026-05-29,Yes,https://www.cfcaa.org/liheap/
Weatherization Assistance Program (WAP),All Florida,Central Florida,"32601, 32603, 32605, 32606, 32607, 32608, 32609, 32610, 32612, 32615, 32641, 32653, 34420, 34431, 34432, 34470, 34471, 34472, 34473, 34474, 34475, 34476, 34479, 34480, 34481, 34482",community_action,Grants,Residential,"Provides forgivable loans up to $20,000 for low-income homeowners to reduce energy bills by making their homes more energy efficient through energy-saving measures.","Households with total income not exceeding 200% of the federal poverty level, owner-occupied homes, elderly (60+) or disabled residents, families with children under 12, and households with a high energy burden.",,,2026-05-29,No,https://www.cfcaa.org/weatherization/
LIHEAP,Florida,Northeast Florida,"32003, 32004, 32009, 32011, 32034, 32043, 32065, 32068, 32073, 32081, 32082, 32084, 32086, 32092, 32095, 32137, 32164, 32202, 32204, 32205, 32206, 32207, 32208, 32209, 32210, 32211, 32216, 32217, 32218, 32219, 32220, 32221, 32222, 32223, 32224, 32225, 32226, 32244, 32246, 32256, 32257, 32258",community_action,Grants,,"Provides emergency assistance for past due utility bills and/or deposits, and may also be eligible for a Home Energy credit.","Households living in Baker, Clay, Duval, Flagler, Putnam, and St. Johns counties",,,2026-05-29,No,https://nfcaa.org/utility-assistance/
Energy Efficiency Rebate Policy,Florida,Green Cove Springs,32043,municipal_utility,Rebates,Residential,"Provides rebates for qualifying customers to install energy-efficient equipment and appliances, reducing utility bills and environmental impact.","Homeowners with qualifying energy-efficient equipment and appliances, current on property taxes and mortgage payments","{'ENERGY STAR Refrigerator': '$75', 'ENERGY STAR Air Conditioner/Heat Pump': '$350', 'ENERGY STAR Dishwasher': '$75', 'ENERGY STAR Programmable Thermostat': '$25', 'ENERGY STAR Clothes Washer': '$100', 'Tankless Water Heater': 'Maximum $300', 'Solar Hot Water Heating': '$300', 'Insulation': 'Up to $200'}",,2026-05-29,No,https://www.greencovesprings.com/215/Energy-Efficiency-Programs-Rebates
Utility Rebates,Florida,Leesburg,"34748, 34788",municipal_utility,Rebates,Residential,Provides rebates for energy-efficient appliances and water-saving fixtures to reduce energy consumption and water waste.,Leesburg Electric customers with outdated water-consuming fixtures installed prior to 1994 or inefficient irrigation systems,Varies by appliance or fixture,,2026-05-29,No,https://www.leesburgflorida.gov/services/utilities/utility_rebates.php
Natural Gas Appliance Rebates,,Florida Public Utilities Service Area,"32034, 32043, 32073, 32084, 32086, 32092, 32095, 32401, 32404, 32405, 32407, 32408, 32413",utility,Rebates,Residential,"Provides rebates for upgrading to natural gas appliances, including water heaters, ranges, clothes dryers, and furnaces, with a maximum rebate of $1,200 per unit for eligible space conditioning units.",,"{'Tank Water Heater': '$500', 'High-Efficiency Tank Water Heater': '$550', 'Tankless Water Heater': '$675', 'Furnace': '$725', 'Range': '$200', 'Clothes Dryer': '$150', 'Service Reactivation': '$350'}",12 months from purchase date,2026-05-29,No,https://fpuc.com/residential/rebates/
